coarse_class,fine class,number_of_tokens,vocab_size
LOC,other,13,13
DESC,reason,17,16
HUM,ind,16,12
NUM,date,9,9
HUM,ind,5,5
DESC,desc,16,15
LOC,city,7,7
DESC,reason,7,7
DESC,manner,5,5
ENTY,food,8,8
NUM,period,10,10
NUM,period,17,17
HUM,ind,7,7
LOC,other,12,12
ENTY,food,16,16
LOC,other,13,12
ENTY,other,16,15
DESC,def,4,4
ENTY,event,16,15
NUM,date,8,8
NUM,date,9,9
ENTY,dismed,7,7
NUM,money,11,11
ENTY,cremat,10,10
ENTY,other,13,12
ENTY,food,19,17
NUM,period,14,14
ABBR,exp,8,8
DESC,def,6,6
NUM,period,7,7
ENTY,body,9,9
HUM,ind,10,10
LOC,country,8,8
ENTY,substance,8,8
ENTY,food,8,8
LOC,other,14,13
ENTY,food,10,10
ENTY,other,15,14
DESC,def,4,4
HUM,ind,13,12
DESC,def,6,6
ENTY,substance,9,9
NUM,count,17,16
HUM,gr,12,11
ENTY,termeq,12,10
DESC,def,4,4
HUM,ind,16,15
ENTY,word,21,20
ENTY,termeq,7,7
ENTY,termeq,9,9
ENTY,veh,10,10
ENTY,food,8,8
HUM,ind,15,14
LOC,other,5,5
NUM,count,13,13
NUM,count,10,10
NUM,period,6,6
DESC,manner,9,9
LOC,city,12,12
DESC,def,4,4
LOC,country,10,10
ENTY,sport,9,9
LOC,state,9,9
ENTY,color,10,9
LOC,city,11,11
NUM,count,23,21
DESC,def,13,13
HUM,ind,9,8
NUM,date,13,12
LOC,other,11,11
HUM,ind,9,9
DESC,manner,8,8
HUM,ind,12,11
HUM,ind,21,19
HUM,ind,20,18
ENTY,word,9,9
HUM,ind,12,12
NUM,other,6,6
HUM,ind,10,10
DESC,reason,9,9
ENTY,termeq,11,11
HUM,ind,16,14
ENTY,sport,10,10
NUM,count,14,14
ABBR,abb,11,9
LOC,other,8,8
LOC,other,10,9
ENTY,sport,6,6
NUM,weight,7,7
DESC,def,4,4
HUM,gr,12,12
NUM,count,10,10
DESC,desc,13,12
ENTY,cremat,12,12
ENTY,product,12,11
DESC,def,8,8
DESC,reason,37,28
NUM,count,9,9
ENTY,other,9,8
NUM,date,12,12
NUM,count,8,8
DESC,def,16,15
ENTY,food,15,13
DESC,manner,9,9
ENTY,body,8,8
HUM,ind,20,18
ENTY,other,11,11
LOC,other,8,8
HUM,ind,6,6
ENTY,other,10,10
NUM,date,7,7
NUM,period,18,16
ENTY,animal,10,10
HUM,ind,18,17
NUM,count,11,11
ENTY,other,16,15
LOC,country,9,8
DESC,manner,8,8
DESC,manner,8,8
ENTY,cremat,7,7
NUM,date,11,11
DESC,manner,5,5
ENTY,food,9,9
HUM,ind,5,5
DESC,def,4,4
ENTY,veh,9,8
HUM,ind,19,16
ABBR,exp,4,4
DESC,manner,7,7
HUM,ind,13,13
HUM,gr,7,7
ENTY,animal,6,6
ENTY,cremat,13,13
DESC,reason,9,9
ENTY,food,6,6
HUM,gr,15,15
LOC,country,6,6
ENTY,cremat,11,10
LOC,city,7,7
HUM,ind,12,12
LOC,city,9,8
HUM,ind,15,15
DESC,def,6,6
ENTY,dismed,7,7
DESC,def,9,9
DESC,desc,6,6
HUM,ind,10,9
LOC,other,10,10
LOC,other,10,10
DESC,manner,11,11
DESC,reason,11,11
ENTY,food,10,10
HUM,ind,7,7
HUM,ind,17,16
LOC,city,8,8
ENTY,dismed,7,7
LOC,other,9,9
LOC,other,10,9
LOC,state,11,11
ENTY,other,10,10
LOC,other,7,7
DESC,manner,12,12
NUM,money,17,16
DESC,desc,12,12
DESC,manner,5,5
ENTY,other,9,9
NUM,period,7,7
LOC,city,10,10
DESC,desc,12,11
NUM,date,12,12
HUM,ind,11,10
DESC,desc,16,12
ENTY,food,21,19
ENTY,cremat,24,23
ENTY,food,7,7
ABBR,exp,10,10
ENTY,termeq,14,14
ENTY,other,6,6
NUM,money,16,14
LOC,country,13,13
ENTY,event,9,9
ENTY,animal,8,8
HUM,gr,12,12
HUM,ind,14,14
DESC,def,9,9
ENTY,cremat,15,14
NUM,date,10,10
LOC,other,8,8
NUM,count,7,7
DESC,desc,12,11
NUM,count,11,11
LOC,other,14,13
DESC,reason,7,7
DESC,reason,15,15
NUM,dist,7,7
DESC,desc,11,10
ENTY,dismed,10,10
LOC,other,7,7
LOC,other,5,5
DESC,desc,13,13
ENTY,dismed,9,9
ENTY,product,10,10
NUM,count,14,13
LOC,other,6,6
ENTY,animal,10,10
ENTY,cremat,19,17
ENTY,dismed,14,14
HUM,gr,7,7
DESC,manner,14,14
ENTY,other,7,7
NUM,count,10,10
HUM,ind,7,7
HUM,ind,18,16
NUM,count,10,10
HUM,gr,18,16
HUM,ind,8,8
HUM,ind,10,9
DESC,def,4,4
HUM,gr,12,12
LOC,other,10,9
HUM,ind,13,13
DESC,def,6,6
DESC,manner,6,6
DESC,def,7,7
NUM,dist,9,9
LOC,city,14,14
NUM,count,7,7
ENTY,product,11,11
HUM,ind,7,7
DESC,manner,6,6
NUM,count,10,10
ENTY,other,9,9
ENTY,event,9,9
DESC,def,6,6
LOC,other,9,9
NUM,period,12,12
HUM,ind,11,11
LOC,other,12,12
DESC,reason,10,10
DESC,def,5,5
ENTY,cremat,9,8
DESC,def,6,6
DESC,manner,14,12
ENTY,other,7,7
ENTY,lang,10,8
HUM,ind,12,12
NUM,count,11,11
DESC,manner,5,5
ENTY,food,10,9
DESC,def,6,6
NUM,count,8,8
NUM,count,12,12
DESC,desc,7,7
ENTY,cremat,11,11
NUM,date,9,9
HUM,ind,13,12
DESC,desc,9,8
NUM,date,7,7
ENTY,sport,10,10
ENTY,cremat,11,11
HUM,ind,7,7
ENTY,termeq,16,13
ENTY,other,17,17
ENTY,termeq,8,8
HUM,ind,7,7
DESC,manner,13,13
NUM,dist,8,8
NUM,date,10,10
DESC,def,10,10
NUM,date,9,9
DESC,desc,8,8
HUM,ind,9,9
HUM,ind,18,16
ENTY,food,7,7
DESC,reason,6,5
ENTY,word,11,11
NUM,date,7,7
HUM,ind,11,11
NUM,perc,12,12
HUM,ind,15,15
NUM,date,7,7
DESC,desc,7,7
HUM,ind,14,13
NUM,count,10,10
HUM,ind,11,10
DESC,def,5,5
DESC,def,7,7
ENTY,animal,14,13
HUM,ind,16,13
ENTY,color,8,8
HUM,ind,13,13
HUM,ind,17,17
HUM,ind,16,15
DESC,manner,7,7
DESC,manner,17,13
HUM,gr,12,11
DESC,def,6,6
DESC,def,5,5
DESC,reason,8,8
NUM,date,11,11
ENTY,cremat,12,12
DESC,def,8,8
HUM,gr,15,14
HUM,ind,12,12
ENTY,techmeth,17,15
LOC,other,6,6
ENTY,cremat,16,16
HUM,ind,12,12
DESC,reason,9,9
DESC,desc,9,9
LOC,other,15,15
NUM,period,7,7
DESC,desc,8,8
DESC,def,5,5
ENTY,dismed,7,7
HUM,ind,20,16
DESC,def,5,5
HUM,ind,11,11
DESC,desc,10,10
DESC,def,4,4
DESC,manner,7,6
LOC,other,9,9
NUM,date,9,9
HUM,gr,15,13
DESC,def,4,4
NUM,count,10,10
DESC,manner,6,6
ENTY,cremat,12,12
ENTY,sport,9,9
ENTY,other,12,12
LOC,other,9,9
HUM,ind,12,12
NUM,perc,15,13
ENTY,other,9,9
LOC,other,17,17
ENTY,cremat,13,13
DESC,def,10,9
HUM,ind,6,6
DESC,reason,10,10
NUM,period,13,13
DESC,manner,14,13
ENTY,other,8,8
NUM,money,12,12
ENTY,substance,8,8
NUM,count,10,10
DESC,desc,12,12
LOC,other,8,8
DESC,manner,6,6
NUM,other,11,10
NUM,perc,8,8
NUM,money,15,14
NUM,count,11,11
HUM,ind,11,11
NUM,other,12,12
HUM,ind,7,7
ENTY,other,6,6
HUM,ind,8,8
ENTY,product,10,9
NUM,count,6,6
LOC,other,12,12
HUM,ind,5,5
ENTY,cremat,11,11
LOC,country,8,8
LOC,other,11,11
NUM,count,9,9
NUM,dist,5,5
HUM,ind,10,9
LOC,country,12,12
LOC,country,11,9
ENTY,other,9,9
DESC,desc,11,10
HUM,ind,11,11
NUM,other,12,12
LOC,other,6,6
ENTY,product,10,9
DESC,manner,5,5
ENTY,cremat,14,13
NUM,count,10,10
HUM,ind,7,7
ENTY,animal,16,16
NUM,other,11,11
HUM,gr,9,9
DESC,desc,13,12
ENTY,cremat,8,8
HUM,ind,6,6
LOC,country,10,10
DESC,def,7,7
ENTY,cremat,16,16
HUM,ind,19,17
DESC,manner,6,6
ABBR,exp,4,4
HUM,desc,4,4
ENTY,product,8,8
HUM,ind,10,10
LOC,other,9,9
NUM,count,11,11
LOC,other,7,7
DESC,manner,6,6
DESC,def,4,4
HUM,ind,8,8
HUM,ind,13,13
HUM,ind,10,10
NUM,count,16,15
NUM,money,12,11
HUM,ind,11,11
LOC,other,15,14
HUM,ind,10,10
ENTY,cremat,11,11
HUM,ind,9,8
HUM,ind,13,12
HUM,ind,13,13
HUM,ind,5,5
DESC,def,6,6
NUM,count,12,12
NUM,date,5,5
ENTY,termeq,17,15
HUM,ind,17,16
NUM,count,10,10
LOC,other,9,9
LOC,country,10,10
HUM,ind,8,8
HUM,ind,10,10
LOC,other,10,10
HUM,ind,4,4
NUM,period,12,12
NUM,other,10,9
HUM,gr,13,12
DESC,reason,6,6
NUM,period,9,9
LOC,city,14,14
HUM,ind,9,9
NUM,period,6,6
DESC,desc,7,7
LOC,mount,13,13
HUM,ind,14,13
HUM,ind,11,10
ENTY,dismed,6,6
DESC,def,4,4
LOC,other,9,9
HUM,ind,8,8
DESC,reason,11,11
ENTY,cremat,12,10
NUM,count,9,9
HUM,ind,5,5
HUM,ind,11,11
LOC,other,9,8
DESC,reason,12,12
ENTY,dismed,20,19
DESC,manner,5,5
NUM,volsize,8,8
ENTY,product,12,10
NUM,date,7,7
HUM,ind,19,18
HUM,ind,10,9
ENTY,product,18,18
HUM,ind,10,10
DESC,desc,9,9
HUM,title,10,10
HUM,ind,22,21
HUM,ind,6,6
DESC,desc,6,6
HUM,ind,11,11
ENTY,other,9,9
DESC,desc,10,10
ENTY,substance,6,6
LOC,other,10,10
NUM,count,6,6
LOC,other,4,4
HUM,ind,8,8
LOC,country,9,9
NUM,weight,16,15
HUM,ind,14,12
LOC,other,10,9
HUM,ind,13,12
HUM,ind,11,11
DESC,desc,11,11
HUM,ind,10,10
NUM,money,12,12
DESC,reason,16,16
LOC,other,12,11
HUM,gr,11,11
NUM,count,8,8
NUM,period,17,15
DESC,manner,12,12
ENTY,food,18,16
DESC,def,5,5
DESC,manner,8,8
ENTY,sport,8,8
LOC,other,6,6
HUM,ind,13,13
DESC,def,11,11
HUM,gr,7,7
LOC,country,9,9
DESC,desc,11,11
LOC,country,8,8
HUM,ind,8,8
NUM,count,8,8
ENTY,other,11,11
HUM,ind,14,13
HUM,ind,11,11
ENTY,cremat,14,14
HUM,gr,12,11
NUM,period,9,9
HUM,ind,24,22
DESC,desc,16,13
LOC,city,13,13
NUM,date,6,6
LOC,other,10,9
HUM,ind,12,12
LOC,state,12,12
HUM,gr,11,9
ENTY,other,13,12
ENTY,other,15,14
HUM,ind,7,7
ENTY,sport,11,11
DESC,desc,11,10
HUM,ind,11,11
LOC,other,6,6
ENTY,other,10,10
DESC,def,4,4
LOC,city,10,10
ENTY,techmeth,15,14
ENTY,substance,7,7
HUM,ind,19,18
HUM,ind,14,14
NUM,speed,12,12
HUM,ind,11,11
NUM,count,11,11
ENTY,dismed,20,20
ENTY,substance,20,16
DESC,def,5,5
LOC,other,12,12
ABBR,exp,4,4
HUM,gr,8,8
LOC,state,10,9
DESC,def,6,6
HUM,ind,11,10
DESC,desc,10,9
ENTY,sport,10,10
ENTY,techmeth,13,13
LOC,country,8,8
DESC,def,5,5
DESC,manner,10,10
ENTY,other,18,16
LOC,other,11,11
NUM,count,11,11
ENTY,termeq,13,12
NUM,date,6,6
LOC,other,12,12
LOC,other,8,8
NUM,period,16,13
HUM,ind,9,9
NUM,date,9,8
DESC,desc,8,8
NUM,count,13,13
HUM,ind,12,12
DESC,desc,11,10
ENTY,event,12,12
ENTY,event,13,13
DESC,def,7,7
HUM,ind,7,7
LOC,mount,9,8
LOC,country,9,9
DESC,manner,8,8
LOC,city,19,16
DESC,def,6,6
HUM,ind,13,13
LOC,other,10,10
NUM,dist,7,7
HUM,ind,15,15
DESC,def,5,5
DESC,reason,14,12
DESC,def,8,6
HUM,ind,15,14
ABBR,exp,4,4
ENTY,cremat,15,13
ENTY,other,15,13
HUM,ind,11,10
LOC,other,19,19
LOC,country,9,9
ENTY,veh,9,9
NUM,date,6,6
NUM,count,9,9
NUM,count,7,7
LOC,state,14,13
LOC,country,11,10
HUM,ind,12,12
NUM,count,26,19
NUM,period,14,14
ENTY,color,18,16
DESC,desc,11,10
ENTY,product,13,13
ENTY,animal,11,11
LOC,other,10,9
HUM,ind,8,8
ENTY,dismed,11,10
HUM,ind,10,10
LOC,country,8,8
HUM,ind,13,12
NUM,count,10,10
ENTY,termeq,7,7
NUM,period,9,9
LOC,country,10,10
HUM,ind,12,12
NUM,date,15,14
HUM,ind,13,12
DESC,desc,7,7
ENTY,word,14,13
HUM,ind,13,13
NUM,count,14,14
DESC,manner,9,9
HUM,ind,11,10
ENTY,other,7,7
LOC,country,9,9
ENTY,color,7,7
ENTY,event,10,10
HUM,ind,12,12
HUM,ind,7,7
LOC,other,9,9
HUM,ind,13,13
LOC,city,10,9
NUM,count,19,17
NUM,money,12,11
ABBR,exp,5,5
ENTY,event,14,14
ENTY,instru,10,10
LOC,other,8,8
DESC,desc,13,12
DESC,manner,11,11
ENTY,food,10,10
DESC,def,5,5
HUM,ind,15,15
NUM,count,10,10
HUM,ind,17,16
DESC,def,5,5
DESC,def,5,5
NUM,count,14,14
ENTY,animal,8,8
LOC,state,8,8
HUM,ind,14,11
DESC,desc,9,9
DESC,desc,12,12
NUM,date,24,21
LOC,country,8,8
ENTY,cremat,7,7
HUM,ind,12,10
ENTY,other,11,10
HUM,gr,9,9
ENTY,dismed,9,9
DESC,desc,12,12
DESC,reason,10,10
NUM,money,10,10
LOC,country,11,11
NUM,date,13,13
DESC,def,8,8
HUM,ind,9,9
DESC,def,5,5
HUM,ind,8,8
HUM,ind,11,11
DESC,def,12,12
DESC,def,7,7
DESC,desc,12,12
LOC,city,10,10
ENTY,lang,12,11
LOC,other,11,11
ENTY,other,7,7
ENTY,dismed,7,7
LOC,other,8,8
ENTY,cremat,9,8
NUM,date,7,7
LOC,other,12,12
DESC,def,5,5
ENTY,cremat,14,14
HUM,ind,9,9
DESC,manner,6,6
HUM,ind,11,11
DESC,manner,8,8
HUM,ind,18,17
NUM,period,10,10
LOC,city,10,10
LOC,other,5,5
ENTY,termeq,11,11
ENTY,cremat,6,6
HUM,ind,16,15
HUM,ind,12,12
ENTY,cremat,11,11
HUM,ind,6,6
LOC,state,7,7
DESC,def,4,4
NUM,count,9,9
HUM,ind,7,7
NUM,count,7,7
DESC,manner,6,6
DESC,reason,4,4
ENTY,dismed,9,8
ENTY,techmeth,11,11
LOC,state,16,16
HUM,ind,12,12
DESC,desc,18,16
HUM,ind,9,9
ENTY,techmeth,18,17
HUM,ind,11,9
ENTY,cremat,21,18
HUM,ind,8,8
HUM,ind,14,12
DESC,def,4,4
DESC,desc,7,7
HUM,gr,6,6
LOC,country,15,13
LOC,city,18,17
ENTY,color,9,9
ENTY,termeq,7,7
HUM,gr,6,6
ENTY,event,12,11
ENTY,cremat,8,8
DESC,def,4,4
NUM,count,7,7
LOC,city,14,13
ENTY,other,11,11
NUM,perc,16,15
NUM,count,8,8
HUM,gr,22,21
NUM,count,10,10
NUM,other,7,7
DESC,manner,10,10
LOC,other,8,8
DESC,reason,10,10
NUM,date,10,10
NUM,count,13,12
DESC,def,7,7
NUM,date,9,9
NUM,weight,14,12
NUM,weight,15,13
ABBR,exp,6,6
LOC,other,11,11
LOC,other,9,9
LOC,other,9,8
NUM,dist,7,7
ENTY,other,6,6
HUM,ind,7,7
HUM,ind,11,10
ENTY,food,9,9
ENTY,other,20,18
ENTY,lang,12,11
NUM,count,8,8
HUM,ind,21,18
ENTY,techmeth,10,10
NUM,weight,14,13
LOC,country,8,8
ENTY,sport,7,7
HUM,ind,20,19
HUM,desc,4,4
ENTY,sport,10,9
HUM,ind,6,6
NUM,date,7,7
DESC,desc,10,10
NUM,count,12,12
NUM,date,8,8
NUM,count,13,13
NUM,count,13,13
HUM,ind,10,10
ENTY,event,10,10
HUM,ind,17,15
DESC,desc,11,11
NUM,period,6,6
HUM,gr,11,11
ENTY,other,10,10
LOC,other,8,8
DESC,def,5,5
LOC,country,7,7
ABBR,exp,11,10
LOC,other,11,10
ENTY,veh,7,7
DESC,def,5,5
DESC,reason,9,9
HUM,gr,8,8
ABBR,exp,6,6
DESC,manner,11,11
ENTY,cremat,8,8
HUM,ind,16,13
HUM,ind,10,10
DESC,manner,5,5
NUM,other,18,15
HUM,ind,6,6
NUM,count,9,9
ENTY,event,16,13
HUM,title,14,14
NUM,other,10,10
HUM,ind,15,15
NUM,other,10,10
LOC,other,6,6
HUM,ind,5,5
LOC,other,8,8
ENTY,animal,10,10
HUM,ind,12,12
ENTY,sport,11,11
ENTY,symbol,6,6
DESC,def,6,6
HUM,ind,9,9
NUM,count,8,8
LOC,country,10,10
DESC,def,4,4
ENTY,termeq,7,7
LOC,country,7,7
DESC,def,11,9
ENTY,product,16,14
HUM,ind,34,29
NUM,count,9,9
ENTY,food,11,11
ENTY,animal,8,8
DESC,reason,13,12
NUM,date,9,9
DESC,manner,18,18
DESC,manner,13,12
LOC,other,10,10
LOC,country,13,13
ENTY,other,15,14
DESC,def,6,6
HUM,ind,18,18
ENTY,termeq,13,12
LOC,other,10,10
LOC,country,12,12
DESC,desc,9,9
ENTY,cremat,19,17
ENTY,other,7,7
ENTY,product,12,12
HUM,ind,13,12
HUM,ind,18,18
LOC,other,10,9
ABBR,exp,8,8
LOC,other,7,7
ENTY,product,10,10
LOC,other,6,6
DESC,def,10,10
HUM,gr,10,10
ENTY,event,15,15
HUM,ind,9,9
LOC,city,7,7
ENTY,other,14,14
NUM,money,9,9
HUM,ind,16,15
ENTY,other,12,12
NUM,money,12,11
LOC,city,8,8
HUM,ind,8,8
ABBR,exp,7,7
DESC,desc,9,8
ENTY,cremat,9,9
HUM,ind,22,19
LOC,other,11,10
LOC,country,13,13
NUM,money,8,8
NUM,money,7,7
DESC,desc,11,10
ENTY,substance,14,14
DESC,desc,9,9
DESC,manner,11,11
ENTY,food,17,17
DESC,desc,9,9
NUM,count,11,10
DESC,def,5,5
NUM,date,10,10
DESC,manner,13,13
HUM,ind,8,8
NUM,count,9,9
HUM,ind,9,9
DESC,desc,7,7
LOC,other,13,11
HUM,ind,9,9
HUM,ind,6,6
ENTY,symbol,10,9
HUM,desc,5,5
HUM,gr,9,9
ENTY,event,9,9
HUM,gr,12,12
HUM,ind,6,6
NUM,dist,7,7
DESC,manner,7,7
ENTY,termeq,17,15
HUM,ind,25,24
HUM,ind,14,13
DESC,manner,9,9
HUM,desc,4,4
NUM,count,8,8
ENTY,dismed,7,7
NUM,count,10,10
HUM,ind,10,9
HUM,desc,5,5
HUM,ind,13,12
HUM,ind,7,7
DESC,manner,6,6
LOC,other,12,12
ENTY,termeq,12,12
HUM,gr,18,16
ENTY,animal,11,10
ENTY,other,12,12
DESC,def,9,8
HUM,ind,9,8
LOC,country,8,8
DESC,desc,9,9
ENTY,other,9,9
ENTY,dismed,11,10
HUM,ind,13,12
HUM,gr,12,12
LOC,other,11,11
DESC,def,5,5
ENTY,termeq,20,19
HUM,gr,20,19
DESC,desc,28,22
NUM,count,9,9
ENTY,dismed,7,7
ENTY,cremat,6,6
LOC,city,9,9
ENTY,other,7,7
DESC,manner,6,6
LOC,city,8,8
ENTY,other,10,10
DESC,def,8,8
LOC,other,9,9
LOC,city,8,8
NUM,count,9,9
DESC,def,4,4
HUM,ind,19,17
NUM,period,7,7
ENTY,religion,9,9
NUM,weight,9,9
ENTY,dismed,9,9
ENTY,other,15,14
DESC,manner,14,14
NUM,other,12,12
DESC,manner,6,6
HUM,ind,10,8
NUM,count,14,13
NUM,count,19,17
ENTY,dismed,7,7
ENTY,cremat,7,7
LOC,state,17,17
ENTY,veh,12,12
LOC,other,14,14
HUM,ind,7,7
HUM,ind,13,11
NUM,perc,15,13
DESC,def,4,4
DESC,reason,7,7
LOC,other,6,6
ENTY,cremat,18,16
LOC,other,11,11
HUM,ind,10,9
LOC,country,11,10
LOC,other,9,9
ENTY,other,6,6
DESC,reason,12,12
HUM,gr,12,11
ENTY,food,8,8
HUM,ind,8,8
ABBR,exp,6,6
ENTY,dismed,9,9
NUM,date,8,8
HUM,gr,7,7
HUM,ind,9,9
HUM,ind,9,8
DESC,def,8,7
LOC,other,8,8
LOC,other,5,5
LOC,country,8,8
LOC,state,9,9
DESC,def,5,5
LOC,city,10,10
HUM,ind,8,8
DESC,reason,12,11
LOC,other,11,10
HUM,gr,6,6
LOC,state,12,12
HUM,ind,15,13
ENTY,other,14,12
HUM,ind,8,8
LOC,other,14,12
DESC,reason,20,18
LOC,other,11,10
DESC,def,4,4
ENTY,animal,7,7
DESC,desc,7,7
NUM,date,9,9
DESC,manner,13,11
HUM,ind,12,12
ABBR,abb,13,13
HUM,ind,11,11
ENTY,food,8,8
HUM,gr,11,11
ENTY,veh,12,12
NUM,count,12,12
NUM,perc,12,12
DESC,desc,31,25
NUM,date,6,6
NUM,count,10,10
ENTY,cremat,12,12
NUM,count,8,8
DESC,desc,9,9
HUM,ind,8,8
DESC,def,5,5
LOC,other,6,6
ENTY,other,7,7
NUM,date,14,12
HUM,ind,5,5
ENTY,cremat,11,11
DESC,def,9,9
HUM,desc,5,5
NUM,money,7,7
HUM,ind,10,10
ENTY,termeq,10,10
ENTY,other,19,18
HUM,gr,9,9
LOC,other,10,10
LOC,other,7,7
DESC,def,5,5
DESC,def,5,5
ENTY,cremat,10,10
ENTY,food,9,9
NUM,money,11,11
NUM,count,10,10
NUM,count,10,10
NUM,count,9,9
ENTY,termeq,19,19
HUM,gr,6,6
ENTY,techmeth,10,10
ENTY,termeq,15,13
NUM,count,14,13
DESC,manner,10,10
LOC,other,16,13
DESC,manner,6,6
HUM,ind,12,12
ENTY,food,5,5
HUM,gr,10,10
LOC,mount,8,8
ENTY,cremat,9,9
DESC,def,5,5
DESC,reason,23,22
DESC,def,5,5
ENTY,sport,11,11
HUM,ind,17,17
HUM,desc,7,7
NUM,date,9,9
ENTY,animal,16,15
DESC,desc,20,18
ENTY,termeq,11,11
HUM,desc,5,5
ENTY,cremat,11,11
DESC,def,9,9
NUM,count,8,8
DESC,def,4,4
DESC,def,5,5
HUM,ind,14,14
ENTY,food,9,9
DESC,reason,7,7
LOC,country,8,8
LOC,country,12,11
ABBR,exp,5,5
HUM,gr,9,9
ENTY,food,13,13
DESC,def,8,8
NUM,code,15,14
HUM,ind,18,17
LOC,other,9,8
HUM,ind,11,11
HUM,title,11,11
NUM,perc,11,11
DESC,reason,6,6
LOC,other,9,9
HUM,ind,9,9
ENTY,cremat,13,13
HUM,ind,5,5
DESC,def,7,7
DESC,manner,9,9
HUM,ind,10,9
DESC,def,12,11
NUM,money,9,9
HUM,gr,11,11
LOC,other,8,8
HUM,ind,8,8
LOC,other,7,7
NUM,count,16,14
LOC,country,15,14
LOC,other,9,8
NUM,count,9,8
DESC,manner,11,11
LOC,city,7,7
NUM,count,18,18
DESC,def,6,6
ENTY,animal,14,13
ENTY,termeq,6,6
ENTY,dismed,7,7
HUM,ind,13,13
NUM,count,19,18
ENTY,event,9,9
HUM,ind,9,8
DESC,reason,9,9
ABBR,exp,9,9
ENTY,food,12,12
DESC,reason,11,11
LOC,other,19,19
DESC,def,5,5
LOC,city,16,14
HUM,desc,6,6
HUM,ind,10,10
LOC,other,6,6
ENTY,food,9,9
NUM,date,8,8
ENTY,other,11,11
DESC,desc,10,10
NUM,date,6,6
NUM,count,14,14
NUM,date,10,10
DESC,def,10,10
LOC,other,8,8
DESC,def,4,4
HUM,ind,10,10
DESC,manner,8,7
HUM,ind,12,12
NUM,count,10,10
NUM,count,8,8
NUM,volsize,8,8
ENTY,color,10,10
ENTY,cremat,13,13
NUM,count,9,9
DESC,manner,11,10
ENTY,termeq,16,15
ENTY,cremat,10,10
LOC,mount,11,11
ENTY,cremat,16,15
ENTY,product,6,6
HUM,ind,8,8
ENTY,termeq,16,14
NUM,count,8,8
HUM,ind,7,7
HUM,ind,17,16
DESC,def,8,8
HUM,ind,12,12
DESC,def,13,11
NUM,period,13,12
NUM,date,7,7
ENTY,other,10,10
DESC,desc,12,10
NUM,count,12,12
NUM,perc,9,9
DESC,manner,11,10
HUM,ind,8,8
HUM,ind,12,12
ENTY,dismed,7,7
HUM,ind,7,7
DESC,manner,22,22
DESC,desc,8,7
HUM,gr,10,9
ENTY,lang,11,10
DESC,desc,8,8
ENTY,cremat,21,19
ENTY,dismed,7,7
DESC,desc,11,10
HUM,ind,11,11
ENTY,product,9,9
ENTY,dismed,7,7
HUM,ind,6,6
NUM,period,9,9
DESC,desc,11,11
DESC,reason,12,12
ENTY,other,7,7
ENTY,cremat,15,15
HUM,ind,8,8
HUM,ind,9,9
NUM,money,17,16
DESC,def,9,9
DESC,def,7,7
HUM,ind,12,10
LOC,other,8,8
ABBR,exp,8,8
ENTY,termeq,9,8
ENTY,cremat,14,14
DESC,reason,11,11
ENTY,animal,9,9
NUM,money,15,13
HUM,gr,8,7
HUM,ind,15,14
NUM,dist,13,12
ENTY,termeq,14,14
ENTY,color,10,10
LOC,other,10,9
NUM,money,9,9
LOC,other,5,5
LOC,other,6,6
DESC,manner,10,10
DESC,reason,6,6
LOC,other,6,6
NUM,period,15,15
ENTY,food,11,10
LOC,other,17,17
ENTY,termeq,9,9
NUM,count,10,10
LOC,other,6,6
DESC,def,4,4
HUM,gr,8,8
ENTY,cremat,21,20
LOC,country,6,6
DESC,def,5,5
DESC,reason,14,10
NUM,other,7,7
HUM,ind,8,8
HUM,ind,12,11
HUM,ind,17,17
NUM,count,13,12
HUM,gr,6,6
ENTY,cremat,9,9
DESC,manner,12,11
LOC,other,7,7
DESC,def,5,5
ENTY,animal,11,11
LOC,other,9,9
HUM,ind,16,15
DESC,desc,9,9
DESC,manner,8,8
NUM,count,9,9
DESC,def,6,6
LOC,country,13,12
NUM,date,9,9
ABBR,exp,6,6
ENTY,termeq,7,7
DESC,manner,5,5
ENTY,techmeth,17,15
ENTY,cremat,16,15
DESC,manner,6,6
HUM,ind,14,14
NUM,dist,12,11
ABBR,exp,4,4
ENTY,food,12,12
DESC,def,5,5
DESC,def,9,9
ENTY,color,12,12
ENTY,other,6,6
DESC,def,8,8
LOC,country,8,8
ENTY,color,11,11
ENTY,techmeth,8,8
HUM,ind,12,10
LOC,city,7,7
LOC,other,6,6
ENTY,sport,14,14
HUM,title,10,10
NUM,period,9,9
LOC,country,11,10
HUM,ind,18,18
LOC,other,7,7
NUM,count,12,12
DESC,reason,11,10
ENTY,other,8,8
HUM,ind,17,15
ENTY,animal,14,14
DESC,def,7,7
ENTY,veh,10,10
NUM,volsize,5,5
ENTY,other,9,9
DESC,manner,10,10
ENTY,animal,9,9
ENTY,dismed,7,7
LOC,country,8,8
HUM,ind,9,9
HUM,ind,15,14
HUM,ind,11,11
ENTY,cremat,10,10
DESC,def,7,7
HUM,ind,8,8
DESC,def,7,7
ENTY,word,21,18
DESC,desc,11,10
HUM,ind,15,15
DESC,manner,8,8
HUM,ind,8,8
ENTY,color,9,9
LOC,country,13,12
ENTY,cremat,10,10
DESC,def,6,6
LOC,other,13,12
ENTY,product,9,9
HUM,title,14,14
DESC,manner,8,7
HUM,title,8,8
ENTY,food,11,10
LOC,other,7,7
NUM,other,5,5
